  283 R     8.2023 0.1   5.2483 0.1 
  266 G2    6.5727 0.1   5.5862 0.1 
  297 G1    2.4510 0.1   3.3129 0.1 
  273 G1    2.8257 0.1   3.3231 0.1 
  249 G1    2.3679 0.1   3.0359 0.1 
  327 R     4.9136 0.1   0.4170 0.1 
  456 G3    2.6846 0.1   7.7696 0.1 
  144 R     4.2875 0.1   7.1552 0.1 
  161 R     0.3936 0.1   6.3069 0.1 
  371 R     2.4918 0.1   3.3954 0.1 
  124 G1    2.3704 0.1   3.0809 0.1 
  260 G3    2.4482 0.1   8.3847 0.1 
  448 G1    3.7512 0.1   2.6930 0.1 
  390 G2    7.1943 0.1   4.8593 0.1 
  426 R     4.0205 0.1   7.8540 0.1 
  251 G3    4.6062 0.1   9.4242 0.1 
  123 R     2.4887 0.1   5.7885 0.1 
  439 G2    5.8944 0.1   5.2586 0.1 
  206 R     9.6889 0.1   2.3275 0.1 
   78 G1    2.6171 0.1   2.9513 0.1 
  278 G2    6.9033 0.1   5.0769 0.1 
  492 G1    2.7062 0.1   3.0023 0.1 
  359 R     5.5667 0.1   5.2518 0.1 
  299 G2    6.6302 0.1   4.7728 0.1 
  491 G3    3.2100 0.1   8.9423 0.1 
  107 G1    3.0839 0.1   3.0490 0.1 
  118 R     8.2241 0.1   1.5097 0.1 
  161 G3    3.1028 0.1   7.9758 0.1 
  259 R     8.0786 0.1   7.7040 0.1 
  243 G1    2.8162 0.1   3.2078 0.1 
  409 G2    7.7396 0.1   4.6841 0.1 
   10 G3    3.4628 0.1   8.5063 0.1 
   41 G3    3.4997 0.1   8.6471 0.1 
  291 G2    5.7560 0.1   6.1378 0.1 
  415 G3    2.8857 0.1   7.9083 0.1 
   95 G2    7.3599 0.1   4.5893 0.1 
    2 G2    7.2355 0.1   4.5824 0.1 
  159 G1    3.8576 0.1   2.9068 0.1 
  310 R     9.6287 0.1   2.3073 0.1 
   57 G3    3.5648 0.1   8.7822 0.1 
  111 G2    6.7382 0.1   5.5132 0.1 
  186 G1    3.0087 0.1   2.6785 0.1 
  416 G3    1.3641 0.1   6.1278 0.1 
  339 G1    2.8547 0.1   2.5915 0.1 
    7 G3    2.8966 0.1   7.9424 0.1 
  349 G2    7.0229 0.1   5.7538 0.1 
   96 G3    2.7655 0.1   7.8372 0.1 
  349 G1    3.1223 0.1   3.0197 0.1 
  437 G2    7.2908 0.1   4.2666 0.1 
   40 G2    6.9762 0.1   5.0184 0.1 
  202 R     8.0139 0.1   8.5273 0.1 
  342 G3    2.9276 0.1   7.2377 0.1 
  180 G1    3.2603 0.1   2.7605 0.1 
  377 G2    7.0061 0.1   5.1680 0.1 
  215 R     6.8033 0.1   0.9554 0.1 
  318 G2    7.1114 0.1   4.8213 0.1 
   41 G1    3.0826 0.1   3.3475 0.1 
  112 R     3.4625 0.1   0.5132 0.1 
  317 G3    3.3335 0.1   8.4603 0.1 
  248 G2    9.0092 0.1   3.9971 0.1 
   83 G2    6.9056 0.1   5.5002 0.1 
    0 G2    7.6623 0.1   4.6266 0.1 
  250 R     0.7387 0.1   4.5677 0.1 
  208 G3    1.8293 0.1   7.7027 0.1 
  494 G2    5.3918 0.1   6.1366 0.1 
  397 G2    7.6049 0.1   6.3814 0.1 
  330 G2    7.2866 0.1   4.6954 0.1 
  118 G3    3.7182 0.1   8.8489 0.1 
  284 G2    6.4052 0.1   5.6503 0.1 
  467 G3    2.0681 0.1   7.4920 0.1 
  361 R     0.5224 0.1   1.1524 0.1 
  184 G3    4.0934 0.1   9.2835 0.1 
  179 R     8.0688 0.1   4.2855 0.1 
  105 G2    6.4525 0.1   4.8070 0.1 
    5 G2    7.6502 0.1   4.4950 0.1 
   95 R     6.1129 0.1   5.8614 0.1 
  385 G2    6.5038 0.1   4.3542 0.1 
  451 R     5.1022 0.1   3.0050 0.1 
  292 R     7.0187 0.1   9.5883 0.1 
  213 G2    7.2295 0.1   4.7053 0.1 
  471 G3    3.5554 0.1   7.6012 0.1 
  319 G2    7.1331 0.1   5.3302 0.1 
  393 G2    8.2886 0.1   4.5213 0.1 
  379 R     2.9032 0.1   1.6873 0.1 
  311 G1    2.7876 0.1   3.1037 0.1 
  481 G1    2.5599 0.1   2.7215 0.1 
    1 R     7.1927 0.1   9.2468 0.1 
  122 G3    2.2931 0.1   7.0364 0.1 
  165 G3    1.2927 0.1   7.5198 0.1 
   82 G2    5.1471 0.1   5.9566 0.1 
  331 R     6.9366 0.1   1.1854 0.1 
  197 G3    2.7481 0.1   8.5755 0.1 
  129 R     9.1956 0.1   2.6452 0.1 
  276 R     4.2735 0.1   2.9789 0.1 
  347 G1    2.7671 0.1   3.2260 0.1 
  236 G2    7.3666 0.1   4.4973 0.1 
  133 G1    2.4152 0.1   2.8766 0.1 
   23 G1    3.1998 0.1   2.7670 0.1 
   60 R     4.9899 0.1   6.8957 0.1 
  427 R     4.1569 0.1   7.0025 0.1 
  119 G1    3.3850 0.1   2.8899 0.1 
   39 G3    3.0317 0.1   8.2764 0.1 
  369 R     3.3569 0.1   0.6515 0.1 
   92 G1    2.8447 0.1   2.6960 0.1 
   46 R     3.7133 0.1   4.8630 0.1 
  214 G2    6.7749 0.1   5.2694 0.1 
  498 G1    2.7008 0.1   3.0270 0.1 
  374 G3    3.1011 0.1   8.0405 0.1 
  366 G3    3.2376 0.1   8.1651 0.1 
  117 R     3.1099 0.1   1.0038 0.1 
  167 G2    8.1915 0.1   4.3883 0.1 
   83 R     3.8118 0.1   0.3301 0.1 
   18 G3    2.5381 0.1   8.0003 0.1 
  481 R     4.8954 0.1   3.9793 0.1 
  437 G1    2.8794 0.1   2.6934 0.1 
  236 R     5.5360 0.1   0.7583 0.1 
  414 R     4.1889 0.1   5.6907 0.1 
  128 R     1.4708 0.1   8.8566 0.1 
  334 G1    2.5951 0.1   3.6496 0.1 
  308 R     0.5624 0.1   6.2953 0.1 
  383 G1    2.7178 0.1   2.9426 0.1 
  101 G3    3.0841 0.1   8.3458 0.1 
  131 G1    3.1890 0.1   3.0385 0.1 
  239 R     5.2045 0.1   9.9482 0.1 
  155 G3    3.4656 0.1   7.3645 0.1 
  400 G3    2.2119 0.1   7.3291 0.1 
  220 G2    7.7445 0.1   4.2352 0.1 
  266 G3    2.8522 0.1   7.5993 0.1 
  108 G1    1.9700 0.1   2.9895 0.1 
    9 G2    6.3980 0.1   5.7169 0.1 
  237 G3    5.8700 0.1   9.8447 0.1 
  444 R     6.1711 0.1   8.0024 0.1 
  366 G2    7.3362 0.1   4.6898 0.1 
  162 G2    5.1001 0.1   5.4730 0.1 
  103 G2    7.9466 0.1   4.0343 0.1 
  267 G2    6.9193 0.1   5.1239 0.1 
  190 R     0.2770 0.1   6.5997 0.1 
  334 G3    3.8690 0.1   8.4732 0.1 
  391 G1    3.3030 0.1   2.9589 0.1 
  298 G3    2.2067 0.1   6.7633 0.1 
  345 G3    2.1243 0.1   7.0603 0.1 
  328 R     5.5237 0.1   5.2040 0.1 
  434 G1    2.5708 0.1   3.0017 0.1 
  296 G2    7.8737 0.1   4.6351 0.1 
   60 G1    2.9421 0.1   3.3372 0.1 
  484 R     7.0895 0.1   4.7993 0.1 
  289 G3    2.9779 0.1   7.9680 0.1 
  326 G3    3.7102 0.1   8.7098 0.1 
  491 G2    5.0708 0.1   4.3823 0.1 
  466 R     7.2323 0.1   9.6094 0.1 
  169 G2    6.4513 0.1   5.5182 0.1 
  346 R     5.9931 0.1   2.7409 0.1 
   67 G2    7.8618 0.1   4.4106 0.1 
  312 G3    3.4872 0.1   7.9706 0.1 
   38 R     4.8100 0.1   0.9148 0.1 
  179 G1    3.1665 0.1   3.0589 0.1 
  410 G3    2.4845 0.1   7.3214 0.1 
  232 R     8.7658 0.1   5.5599 0.1 
  126 G1    3.1354 0.1   3.2168 0.1 
   77 G2    6.6285 0.1   5.3218 0.1 
   43 R     7.2266 0.1   6.0962 0.1 
  142 G2    5.6164 0.1   5.5794 0.1 
  471 G1    2.6594 0.1   3.2853 0.1 
  152 G3    2.5928 0.1   7.5937 0.1 
  130 G2    6.0988 0.1   5.9132 0.1 
   98 G2    6.3335 0.1   6.4605 0.1 
  493 G3    2.7095 0.1   7.4062 0.1 
  212 G2    6.2251 0.1   3.6825 0.1 
   94 G3    1.9497 0.1   7.0898 0.1 
  166 G2    7.1679 0.1   4.8561 0.1 
   94 G1    2.9467 0.1   2.9477 0.1 
   80 R     1.5339 0.1   4.6372 0.1 
  202 G2    7.8121 0.1   4.5841 0.1 
   43 G3    2.9903 0.1   7.9791 0.1 
  400 G1    2.3807 0.1   2.4850 0.1 
  184 G1    2.6857 0.1   3.2190 0.1 
  410 G2    6.8891 0.1   5.4144 0.1 
  188 G3    3.4363 0.1   7.8090 0.1 
    1 G3    3.5297 0.1   8.3756 0.1 
  146 G3    4.1670 0.1   9.1420 0.1 
  213 G3    3.9907 0.1   8.8258 0.1 
  492 R     4.0438 0.1   1.9615 0.1 
  133 G2    6.5694 0.1   5.0126 0.1 
  398 R     4.5537 0.1   0.0459 0.1 
  442 G3    3.1221 0.1   8.8223 0.1 
  118 G2    6.5907 0.1   3.5923 0.1 
  383 G3    3.0694 0.1   8.1732 0.1 
  499 G3    2.2434 0.1   7.2850 0.1 
  220 G1    2.4368 0.1   2.8197 0.1 
  268 G2    6.9221 0.1   5.1529 0.1 
  467 G1    2.6720 0.1   2.8556 0.1 
  444 G2    8.1160 0.1   4.1651 0.1 
   84 G3    3.0844 0.1   8.1840 0.1 
  153 G1    3.0234 0.1   2.9386 0.1 
  141 G1    3.1942 0.1   2.5800 0.1 
  379 G1    3.0729 0.1   3.0778 0.1 
  422 R     0.8310 0.1   8.4552 0.1 
   73 G3    2.5124 0.1   8.3533 0.1 
  419 G1    2.7109 0.1   2.9362 0.1 
   72 R     6.6794 0.1   2.3544 0.1 
  116 G1    2.4481 0.1   2.7542 0.1 
  230 G2    6.9617 0.1   5.8187 0.1 
  243 G2    7.2158 0.1   5.2046 0.1 
  340 G1    2.8757 0.1   2.9343 0.1 
   82 G1    3.2516 0.1   3.1047 0.1 
  350 G3    2.9033 0.1   7.7428 0.1 
  427 G3    2.9574 0.1   6.8550 0.1 
  177 R     2.1241 0.1   1.3668 0.1 
  183 G3    2.8556 0.1   8.4677 0.1 
  408 G3    2.1757 0.1   8.7382 0.1 
  104 R     4.1540 0.1   6.4209 0.1 
   47 R     6.5430 0.1   2.9410 0.1 
  461 G2    5.8342 0.1   4.8367 0.1 
   80 G2    6.5084 0.1   6.0178 0.1 
  148 G1    2.7873 0.1   2.5747 0.1 
  107 R     7.7028 0.1   7.6706 0.1 
   20 G2    7.2759 0.1   4.7495 0.1 
   45 G3    2.2805 0.1   7.6648 0.1 
  253 R     1.3968 0.1   1.9359 0.1 
  318 G3    2.8065 0.1   7.3287 0.1 
  375 G2    6.8911 0.1   4.7256 0.1 
  108 R     6.6022 0.1   9.1957 0.1 
  346 G2    7.1050 0.1   4.4157 0.1 
  324 G2    5.9133 0.1   5.7067 0.1 
   14 G2    6.9700 0.1   5.0252 0.1 
   28 G3    2.7202 0.1   7.6989 0.1 
   74 G2    7.6222 0.1   6.1109 0.1 
    6 G3    2.8681 0.1   7.7631 0.1 
  436 R     7.8626 0.1   2.7096 0.1 
  337 R     7.8996 0.1   4.3408 0.1 
  250 G2    6.6936 0.1   5.8649 0.1 
   99 G3    1.9515 0.1   8.1754 0.1 
  240 G3    3.7134 0.1   8.8406 0.1 
   71 R     3.4159 0.1   6.1214 0.1 
  421 G1    2.2899 0.1   2.4345 0.1 
  349 G3    2.2724 0.1   7.7495 0.1 
  487 G3    2.4327 0.1   9.1532 0.1 
  309 G2    8.2629 0.1   4.7366 0.1 
  415 G1    2.3639 0.1   3.2624 0.1 
   58 G3    1.6893 0.1   6.7959 0.1 
  277 G1    2.8616 0.1   2.7077 0.1 
  481 G2    7.8857 0.1   5.8206 0.1 
  322 G3    2.7638 0.1   7.5754 0.1 
  454 G2    6.5834 0.1   5.2394 0.1 
   19 R     1.5078 0.1   0.7944 0.1 
  492 G2    7.7786 0.1   4.4632 0.1 
   45 R     5.2570 0.1   4.0766 0.1 
  434 R     9.8952 0.1   3.7573 0.1 
  113 R     5.6121 0.1   2.0031 0.1 
  314 G2    7.9240 0.1   4.5642 0.1 
  127 G1    2.8507 0.1   2.8680 0.1 
  166 G1    3.1610 0.1   3.2459 0.1 
  396 G2    6.5219 0.1   5.6214 0.1 
  132 G3    2.0643 0.1   7.2740 0.1 
  228 G3    3.4157 0.1   8.2810 0.1 
   58 R     1.8387 0.1   7.5481 0.1 
   48 R     0.9105 0.1   9.2996 0.1 
  457 G1    2.9851 0.1   3.2363 0.1 
   12 G2    6.4074 0.1   5.2572 0.1 
  170 G2    6.8005 0.1   5.1787 0.1 
  483 G2    6.6269 0.1   5.3877 0.1 
  206 G1    2.1810 0.1   3.3904 0.1 
  395 G1    3.2310 0.1   2.9746 0.1 
   24 G1    3.3071 0.1   2.8135 0.1 
  399 G3    3.0392 0.1   8.4486 0.1 
  257 R     4.8638 0.1   1.0885 0.1 
  411 R     4.7935 0.1   8.8880 0.1 
  331 G3    3.3980 0.1   8.3571 0.1 
  479 G1    2.5831 0.1   3.0342 0.1 
  473 G2    7.2290 0.1   4.6696 0.1 
  248 G1    2.6389 0.1   3.1486 0.1 
  197 G1    2.9109 0.1   3.2478 0.1 
   88 R     1.4258 0.1   0.1382 0.1 
  321 R     7.5569 0.1   5.9461 0.1 
  466 G1    2.1038 0.1   3.0055 0.1 
  450 G1    2.3146 0.1   3.2616 0.1 
  397 G3    3.3080 0.1   8.2993 0.1 
   94 R     2.2659 0.1   9.1663 0.1 
  354 G1    2.0588 0.1   2.8608 0.1 
   56 G3    2.3874 0.1   8.1961 0.1 
  430 R     6.5920 0.1   8.3633 0.1 
  439 G3    2.5685 0.1   7.6229 0.1 
  364 G1    3.4199 0.1   2.6774 0.1 
   77 G3    3.5181 0.1   8.4325 0.1 
  260 R     4.7396 0.1   3.0601 0.1 
  433 G3    2.4050 0.1   7.6123 0.1 
  197 G2    6.6731 0.1   5.4496 0.1 
    8 G3    2.9212 0.1   7.7636 0.1 
  417 G1    2.9507 0.1   3.1747 0.1 
    3 R     3.0933 0.1   7.3353 0.1 
  389 G3    4.0526 0.1   6.8247 0.1 
  219 G3    3.2198 0.1   8.2637 0.1 
  176 G1    3.6866 0.1   2.9258 0.1 
  208 G1    3.4586 0.1   3.0785 0.1 
  489 G2    7.1353 0.1   4.8181 0.1 
  262 G2    6.9539 0.1   4.9898 0.1 
  210 G3    4.3152 0.1   7.5838 0.1 
  458 G3    2.2575 0.1   6.6532 0.1 
  472 G3    3.0203 0.1   8.3757 0.1 
  175 G2    6.8971 0.1   5.0812 0.1 
  225 R     7.3214 0.1   3.0182 0.1 
  257 G3    3.9545 0.1   8.7205 0.1 
  317 G1    2.6243 0.1   3.2877 0.1 
  484 G2    7.4350 0.1   4.7155 0.1 
  131 G2    6.5037 0.1   5.3165 0.1 
  398 G3    2.5752 0.1   7.7188 0.1 
  364 R     9.0110 0.1   9.9063 0.1 
  480 G2    7.4027 0.1   4.7452 0.1 
  106 R     9.4270 0.1   7.2476 0.1 
  215 G3    4.5475 0.1   9.2281 0.1 
   41 R     6.4404 0.1   8.1357 0.1 
  331 G2    7.1838 0.1   4.9197 0.1 
   57 G2    6.6444 0.1   5.4078 0.1 
  384 G2    6.6026 0.1   5.3956 0.1 
  477 G1    1.7662 0.1   2.5426 0.1 
  477 G2    7.1748 0.1   4.8414 0.1 
  128 G1    3.3722 0.1   3.1514 0.1 
  207 G3    1.0278 0.1   6.4087 0.1 
  256 R     1.4304 0.1   1.9594 0.1 
   37 G2    6.6143 0.1   5.2331 0.1 
  460 G3    3.0335 0.1   8.5931 0.1 
  214 G1    3.7081 0.1   3.0074 0.1 
  246 R     7.7699 0.1   6.3528 0.1 
  351 G2    7.9117 0.1   4.2119 0.1 
  185 G1    4.0062 0.1   3.0261 0.1 
  258 G2    6.5494 0.1   5.2560 0.1 
  123 G2    5.7666 0.1   4.6353 0.1 
  209 G2    7.1652 0.1   4.6140 0.1 
  235 G2    8.5311 0.1   3.8153 0.1 
  246 G3    3.5328 0.1   8.2484 0.1 
   30 G1    2.6970 0.1   3.1627 0.1 
  310 G2    6.2998 0.1   6.0767 0.1 
  438 G1    3.3097 0.1   3.1574 0.1 
  274 R     9.1256 0.1   3.9336 0.1 
  154 G2    7.5888 0.1   4.6974 0.1 
   32 G3    1.9222 0.1   6.5261 0.1 
  102 R     0.7402 0.1   3.4811 0.1 
  235 G3    2.4333 0.1   8.1143 0.1 
  186 G2    5.6475 0.1   6.5094 0.1 
  300 G1    2.6550 0.1   3.0154 0.1 
   33 G3    3.5716 0.1   8.3843 0.1 
  280 G2    6.0925 0.1   5.0641 0.1 
   83 G3    3.8012 0.1   8.5935 0.1 
  155 G2    7.1969 0.1   4.6165 0.1 
   11 G1    3.3429 0.1   3.3162 0.1 
  125 G2    6.9010 0.1   5.1553 0.1 
  205 G2    6.8062 0.1   5.1759 0.1 
  351 G1    2.9308 0.1   3.3329 0.1 
  143 G1    3.1923 0.1   2.8728 0.1 
  440 G3    3.3504 0.1   8.6848 0.1 
  183 R     6.3786 0.1   7.9447 0.1 
   20 G1    3.0087 0.1   2.7529 0.1 
  289 G2    6.3783 0.1   5.2193 0.1 
  207 R     2.1793 0.1   3.2018 0.1 
  463 G1    2.8171 0.1   2.5880 0.1 
  295 G3    2.7678 0.1   8.1135 0.1 
   92 G3    4.4640 0.1   10.2703 0.1 
  245 R     8.3005 0.1   7.1475 0.1 
  104 G2    8.0069 0.1   4.1176 0.1 
   84 G1    1.9634 0.1   2.8698 0.1 
   50 G1    3.7145 0.1   2.7992 0.1 
  371 G2    7.4945 0.1   4.7273 0.1 
  242 G2    6.6994 0.1   5.3483 0.1 
  397 R     7.2191 0.1   5.0711 0.1 
  180 G3    2.8103 0.1   7.8925 0.1 
  338 R     0.3782 0.1   7.0195 0.1 
   39 G2    6.1014 0.1   5.4240 0.1 
  422 G1    3.6901 0.1   2.4635 0.1 
  125 G1    2.8896 0.1   2.5290 0.1 
    5 G1    3.2762 0.1   3.6439 0.1 
  184 G2    6.6039 0.1   5.6544 0.1 
  242 G3    2.3827 0.1   7.3234 0.1 
  416 G2    6.5780 0.1   5.4247 0.1 
   86 G1    2.9625 0.1   3.1232 0.1 
  281 G3    2.4785 0.1   7.4289 0.1 
  120 G1    2.8890 0.1   3.1856 0.1 
  181 G2    6.6468 0.1   5.2583 0.1 
   62 G2    6.1178 0.1   5.5946 0.1 
  183 G2    6.8476 0.1   5.1844 0.1 
  231 G1    2.2113 0.1   2.8558 0.1 
  323 R     4.6773 0.1   7.0313 0.1 
  123 G1    2.8610 0.1   2.9889 0.1 
  188 R     9.9278 0.1   2.8855 0.1 
   90 G1    3.4120 0.1   3.4629 0.1 
  340 R     1.7636 0.1   1.5381 0.1 
  226 R     1.3242 0.1   5.6306 0.1 
  103 G1    2.4918 0.1   2.7623 0.1 
  178 R     1.3829 0.1   0.0175 0.1 
  423 G2    6.8497 0.1   5.6426 0.1 
  303 G3    2.6743 0.1   7.6867 0.1 
  362 G3    3.1997 0.1   8.2559 0.1 
   25 G1    2.1649 0.1   2.8982 0.1 
  135 G1    3.1310 0.1   3.1455 0.1 
  286 R     9.3997 0.1   0.5650 0.1 
  314 R     2.3111 0.1   0.7086 0.1 
  218 G3    2.4484 0.1   7.9837 0.1 
  133 G3    3.6923 0.1   10.0019 0.1 
  489 G3    2.5500 0.1   7.4167 0.1 
  384 G1    3.6171 0.1   3.1785 0.1 
  392 R     0.0344 0.1   6.0814 0.1 
  368 G1    2.4868 0.1   2.6372 0.1 
  193 G3    4.4944 0.1   9.4744 0.1 
  103 G3    3.4940 0.1   7.5514 0.1 
  137 R     5.8107 0.1   3.5136 0.1 
    0 G1    3.6614 0.1   2.7378 0.1 
  370 G1    2.8888 0.1   2.3395 0.1 
  227 R     0.3174 0.1   1.0976 0.1 
  223 G2    6.9162 0.1   5.0725 0.1 
  115 G1    3.1406 0.1   3.5832 0.1 
  243 G3    1.6353 0.1   6.6243 0.1 
  200 G3    1.1381 0.1   7.3418 0.1 
  195 G2    6.2169 0.1   6.0707 0.1 
  388 G3    3.9796 0.1   7.6586 0.1 
  164 G1    3.6949 0.1   2.9551 0.1 
  115 G2    7.2535 0.1   5.8573 0.1 
  340 G3    3.0362 0.1   8.0072 0.1 
  421 G3    1.9892 0.1   6.9850 0.1 
  452 G3    3.1993 0.1   8.8421 0.1 
  275 G3    3.2764 0.1   8.2895 0.1 
  217 G3    2.3129 0.1   6.7478 0.1 
   52 G3    3.0784 0.1   8.3295 0.1 
  159 G3    3.6645 0.1   8.6080 0.1 
  382 G1    2.9390 0.1   2.9423 0.1 
  285 G2    7.0763 0.1   4.9033 0.1 
  277 G2    7.7087 0.1   4.4410 0.1 
  377 R     7.1175 0.1   2.7749 0.1 
  407 G2    7.4960 0.1   4.6046 0.1 
  406 G3    3.0831 0.1   8.4921 0.1 
  402 G3    3.5205 0.1   8.2888 0.1 
   45 G1    2.0652 0.1   3.0192 0.1 
  333 G1    3.2055 0.1   3.1161 0.1 
  470 G3    3.2628 0.1   8.2292 0.1 
  225 G3    2.6302 0.1   7.7347 0.1 
  440 G2    7.0952 0.1   5.6795 0.1 
  386 R     2.3789 0.1   0.1689 0.1 
   59 G3    2.4584 0.1   9.2625 0.1 
  115 G3    3.1053 0.1   9.1085 0.1 
  117 G1    2.8963 0.1   3.0368 0.1 
  211 G2    7.2707 0.1   4.5779 0.1 
   91 G1    2.8114 0.1   3.0316 0.1 
  446 G2    6.8041 0.1   5.2576 0.1 
  196 G3    1.3392 0.1   6.6300 0.1 
  407 G3    2.4792 0.1   9.4944 0.1 
  355 R     6.2086 0.1   7.1116 0.1 
  173 G2    7.4102 0.1   4.7224 0.1 
  335 G3    2.1732 0.1   6.7424 0.1 
   44 G2    5.9756 0.1   6.6952 0.1 
  497 G3    5.0643 0.1   8.5757 0.1 
  308 G3    4.1225 0.1   10.1489 0.1 
  425 G1    2.7785 0.1   3.1084 0.1 
  119 R     5.1698 0.1   1.4542 0.1 
  294 G3    3.6036 0.1   8.3153 0.1 
  375 R     0.7679 0.1   4.8811 0.1 
  281 G1    3.5523 0.1   3.1279 0.1 
  422 G2    6.5807 0.1   5.7317 0.1 
  293 G1    3.7202 0.1   3.1085 0.1 
  489 R     5.3100 0.1   9.8537 0.1 
  144 G1    3.3850 0.1   3.0537 0.1 
  212 R     8.9115 0.1   0.0737 0.1 
  258 R     7.9984 0.1   6.7552 0.1 
   97 G2    8.0568 0.1   4.3786 0.1 
  125 G3    2.4992 0.1   7.5727 0.1 
  342 R     5.8463 0.1   8.3715 0.1 
  201 G1    3.2773 0.1   2.8364 0.1 
  134 G1    3.0322 0.1   2.9885 0.1 
  294 R     9.1084 0.1   0.3924 0.1 
   85 R     2.3131 0.1   5.3381 0.1 
  493 G2    7.7018 0.1   4.1886 0.1 
   49 G2    6.8455 0.1   5.3275 0.1 
   20 R     3.1847 0.1   4.6099 0.1 
  245 G1    2.3162 0.1   2.6401 0.1 
   34 G1    3.6118 0.1   3.2279 0.1 
  150 R     5.4337 0.1   0.8646 0.1 
  324 R     4.1087 0.1   5.4531 0.1 
  433 R     0.5360 0.1   4.8115 0.1 
   76 G1    3.2316 0.1   3.2880 0.1 
  368 G2    7.7418 0.1   4.1963 0.1 
  395 R     0.9920 0.1   0.0613 0.1 
  336 R     3.0570 0.1   7.9634 0.1 
  304 G1    3.1019 0.1   2.7858 0.1 
  102 G1    3.3168 0.1   2.9806 0.1 
   92 R     2.1345 0.1   5.6441 0.1 
   54 G3    2.6597 0.1   7.7683 0.1 
  230 R     0.3619 0.1   6.8231 0.1 
  328 G2    8.2691 0.1   2.3093 0.1 
   96 G2    7.6761 0.1   4.2953 0.1 
  114 G1    3.6222 0.1   3.0281 0.1 
   69 G3    2.5177 0.1   7.6479 0.1 
  362 R     7.6105 0.1   6.9655 0.1 
  396 R     5.3423 0.1   4.0541 0.1 
  376 G3    1.9449 0.1   6.9004 0.1 
  170 R     2.8504 0.1   2.3025 0.1 
  295 G1    3.7208 0.1   2.8227 0.1 
  283 G1    3.4024 0.1   2.7779 0.1 
  233 G1    2.6549 0.1   2.6770 0.1 
  244 R     1.6985 0.1   6.1810 0.1 
  177 G1    3.4916 0.1   2.9015 0.1 
  383 G2    7.3752 0.1   5.2883 0.1 
  149 R     6.1515 0.1   2.3484 0.1 
  438 G2    6.1077 0.1   5.5114 0.1 
  350 R     1.1288 0.1   9.2033 0.1 
  404 G1    2.6038 0.1   2.8484 0.1 
  232 G3    3.8136 0.1   8.6905 0.1 
  198 G1    2.5965 0.1   3.1526 0.1 
  163 G1    2.5948 0.1   2.5947 0.1 
  248 R     0.0382 0.1   6.4645 0.1 
  203 G3    2.7206 0.1   6.8999 0.1 
  154 G1    2.9277 0.1   2.9689 0.1 
  413 G2    6.2188 0.1   4.6579 0.1 
   10 G1    3.3678 0.1   2.9414 0.1 
  172 G3    3.5220 0.1   8.4447 0.1 
  269 R     1.3959 0.1   9.4364 0.1 
   97 G3    2.8984 0.1   7.8537 0.1 
  195 G1    2.7577 0.1   3.0969 0.1 
  151 R     5.9829 0.1   4.6601 0.1 
   42 G1    3.7321 0.1   3.4064 0.1 
  120 R     7.8044 0.1   8.7838 0.1 
  243 R     4.3313 0.1   9.6584 0.1 
  151 G2    6.7315 0.1   5.0953 0.1 
  311 G2    6.6337 0.1   5.8074 0.1 
  495 G2    6.3602 0.1   5.1862 0.1 
  373 G3    3.2390 0.1   8.3439 0.1 
  306 G3    2.8464 0.1   7.8941 0.1 
  253 G1    3.1502 0.1   2.5009 0.1 
  165 G1    2.5822 0.1   3.0785 0.1 
  430 G3    3.2851 0.1   8.3714 0.1 
  198 G2    7.1565 0.1   4.9101 0.1 
  153 R     1.2485 0.1   4.7591 0.1 
  181 G1    2.1370 0.1   2.5652 0.1 
  391 G2    7.2748 0.1   5.4280 0.1 
   19 G2    7.3624 0.1   4.5829 0.1 
   15 G2    7.3687 0.1   4.7606 0.1 
  172 G2    6.4925 0.1   5.6221 0.1 
   62 G1    2.3684 0.1   3.0614 0.1 
  127 G2    6.9813 0.1   3.0277 0.1 
  229 G3    3.0375 0.1   7.8142 0.1 
  359 G3    4.2971 0.1   8.2923 0.1 
  153 G3    3.7650 0.1   8.6603 0.1 
  300 G3    2.6313 0.1   7.7993 0.1 
  421 G2    6.3229 0.1   5.3809 0.1 
  135 R     1.2553 0.1   5.2533 0.1 
   35 G1    3.5123 0.1   3.2182 0.1 
  328 G3    4.9804 0.1   6.4258 0.1 
  484 G1    2.8225 0.1   2.8361 0.1 
  452 G1    2.8321 0.1   3.1931 0.1 
   17 R     2.1925 0.1   3.9114 0.1 
  325 G2    6.5629 0.1   5.1983 0.1 
   49 R     9.6927 0.1   2.1612 0.1 
  418 G1    3.3157 0.1   3.0888 0.1 
  173 R     2.9892 0.1   0.3987 0.1 
  462 G3    2.7417 0.1   7.7037 0.1 
  329 G1    3.1971 0.1   3.0210 0.1 
   90 G3    1.9810 0.1   6.4885 0.1 
  104 G3    3.8074 0.1   8.8164 0.1 
   99 G2    6.5857 0.1   5.6786 0.1 
  443 G2    7.8441 0.1   4.4150 0.1 
  305 R     8.3455 0.1   5.3616 0.1 
  128 G2    6.6023 0.1   5.2985 0.1 
  400 G2    8.3714 0.1   3.5436 0.1 
  380 G1    2.7271 0.1   2.9919 0.1 
  270 G2    5.3479 0.1   6.0761 0.1 
  175 G1    3.0625 0.1   2.5798 0.1 
  110 G2    7.7228 0.1   4.5691 0.1 
  406 G1    1.8208 0.1   2.9384 0.1 
  200 G2    7.8155 0.1   3.1326 0.1 
